Time,Speed,Engine Speed,Gear
0.0,0.0,850.0,0
0.1,0.0,850.0,0
0.2,0.0,850.0,0
0.3,0.0,849.0,0
0.4,0.0,848.0,0
0.5,0.0,854.0,0
0.6,0.0,855.0,0
0.7,0.0,847.0,0
0.8,0.0,847.0,0
0.9,0.0,849.0,0
1.0,0.0,851.0,0
1.1,0.0,851.0,0
1.2,0.0,850.0,0
1.3,0.0,852.0,0
1.4,0.0,853.0,0
1.5,0.0,853.0,0
1.6,0.0,851.0,0
1.7,0.0,851.0,0
1.8,0.0,848.0,0
1.9,0.0,847.0,0
2.0,0.0,845.0,0
2.1,0.0,850.0,0
2.2,0.0,853.0,0
2.3,0.0,850.0,0
2.4,0.0,846.0,0
2.5,0.0,850.0,0
2.6,0.0,852.0,0
2.7,0.0,857.0,0
2.8,0.0,853.0,0
2.9,0.0,850.0,0
3.0,0.0,851.0,0
3.1,0.0,850.0,0
3.2,0.0,853.0,0
3.3,0.0,848.0,0
3.4,0.0,848.0,0
3.5,0.0,851.0,0
3.6,0.0,851.0,0
3.7,0.0,850.0,0
3.8,0.0,846.0,0
3.9,0.0,849.0,0
4.0,0.0,851.0,0
4.1,0.0,849.0,0
4.2,0.0,850.0,0
4.3,0.0,854.0,0
4.4,0.0,854.0,0
4.5,0.0,855.0,0
4.6,0.0,853.0,0
4.7,0.0,850.0,0
4.8,0.0,851.0,0
4.9,0.0,852.0,0
5.0,0.0,849.0,0
5.1,0.0,851.0,0
5.2,0.0,852.0,0
5.3,0.0,852.0,0
5.4,0.0,850.0,0
5.5,0.0,852.0,0
5.6,0.0,848.0,0
5.7,0.0,848.0,0
5.8,0.0,847.0,0
5.9,0.0,851.0,0
6.0,0.0,849.0,0
6.1,0.0,853.0,0
6.2,0.0,856.0,0
6.3,0.0,855.0,0
6.4,0.0,853.0,0
6.5,0.0,851.0,0
6.6,0.0,846.0,0
6.7,0.0,847.0,0
6.8,0.0,846.0,0
6.9,0.0,848.0,0
7.0,0.0,849.0,0
7.1,0.0,849.0,0
7.2,0.0,851.0,0
7.3,0.0,852.0,0
7.4,0.0,850.0,0
7.5,0.0,850.0,0
7.6,0.0,848.0,0
7.7,0.0,849.0,0
7.8,0.0,849.0,0
7.9,0.0,849.0,0
8.0,0.0,848.0,0
8.1,0.0,852.0,0
8.2,0.0,854.0,0
8.3,0.0,853.0,0
8.4,0.0,853.0,0
8.5,0.0,852.0,0
8.6,0.0,852.0,0
8.7,0.0,850.0,0
8.8,0.0,850.0,0
8.9,0.0,854.0,0
9.0,0.0,852.0,0
9.1,0.0,851.0,0
9.2,0.0,851.0,0
9.3,0.0,849.0,0
9.4,0.0,853.0,0
9.5,0.0,854.0,0
9.6,0.0,848.0,0
9.7,0.0,847.0,0
9.8,0.0,849.0,0
9.9,0.0,847.0,0
10.0,0.0,848.0,0
10.1,0.0,851.0,0
10.2,0.0,853.0,0
10.3,0.0,852.0,0
10.4,0.0,851.0,0
10.5,0.0,848.0,0
10.6,0.0,850.0,0
10.7,0.0,849.0,0
10.8,0.0,844.0,0
10.9,0.0,845.0,0
11.0,0.0,850.0,0
11.1,0.0,851.0,0
11.2,0.0,854.0,0
11.3,0.0,855.0,0
11.4,0.0,851.0,0
11.5,0.0,853.0,0
11.6,0.0,852.0,0
11.7,0.0,851.0,0
11.8,0.0,849.0,0
11.9,0.0,851.0,0
12.0,0.0,853.0,0
12.1,0.0,853.0,0
12.2,0.0,851.0,0
12.3,0.0,849.0,0
12.4,0.0,845.0,0
12.5,0.0,845.0,0
12.6,0.0,845.0,0
12.7,0.0,846.0,0
12.8,0.0,852.0,0
12.9,0.0,851.0,0
13.0,0.0,847.0,0
13.1,0.0,845.0,0
13.2,0.0,849.0,0
13.3,0.0,851.0,0
13.4,0.0,851.0,0
13.5,0.0,851.0,0
13.6,0.0,850.0,0
13.7,0.0,850.0,0
13.8,0.0,847.0,0
13.9,0.0,846.0,0
14.0,0.0,849.0,0
14.1,0.0,852.0,0
14.2,0.0,854.0,0
14.3,0.0,850.0,0
14.4,0.0,853.0,0
14.5,0.0,847.0,0
14.6,0.0,836.0,0
14.7,0.0,827.0,0
14.8,0.0,819.0,0
14.9,0.0,813.0,0
15.0,0.0,780.0,0
15.1,0.0,741.0,0
15.2,0.0,749.0,0
15.3,0.0,770.0,0
15.4,0.0,787.0,0
15.5,0.0,792.0,0
15.6,0.0,792.0,0
15.7,0.0,796.0,0
15.8,0.0,806.0,0
15.9,0.0,814.0,0
16.0,0.0,813.0,0
16.1,0.0,822.0,0
16.2,0.0,832.0,0
16.3,0.0,829.0,0
16.4,0.0,834.0,0
16.5,0.0,840.0,0
16.6,0.0,839.0,0
16.7,0.0,846.0,0
16.8,0.0,852.0,0
16.9,0.0,853.0,0
17.0,0.0,850.0,0
17.1,0.0,846.0,0
17.2,0.0,851.0,0
17.3,0.0,853.0,0
17.4,0.0,848.0,0
17.5,0.0,849.0,0
17.6,0.0,856.0,0
17.7,0.0,850.0,0
17.8,0.0,847.0,0
17.9,0.0,854.0,0
18.0,0.0,854.0,0
18.1,0.0,850.0,0
18.2,0.0,849.0,0
18.3,0.0,848.0,0
18.4,0.0,848.0,0
18.5,0.0,847.0,0
18.6,0.0,851.0,0
18.7,0.0,851.0,0
18.8,0.0,849.0,0
18.9,0.0,850.0,0
19.0,0.0,852.0,0
19.1,0.0,857.0,0
19.2,0.0,851.0,0
19.3,0.0,848.0,0
19.4,0.0,853.0,0
19.5,0.0,849.0,0
19.6,0.0,850.0,0
19.7,0.0,849.0,1
19.8,0.0,847.0,1
19.9,0.0,849.0,1
20.0,0.0,853.0,1
20.1,0.0,848.0,1
20.2,0.0,847.0,1
20.3,0.0,852.0,1
20.4,0.0,848.0,1
20.5,0.0,847.0,1
