Time,Speed,Engine Speed,Gear
0.0,0.0,851.0,0
0.1,0.0,851.0,0
0.2,0.0,851.0,0
0.3,0.0,851.0,0
0.4,0.0,853.0,0
0.5,0.0,845.0,0
0.6,0.0,850.0,0
0.7,0.0,853.0,0
0.8,0.0,850.0,0
0.9,0.0,850.0,0
1.0,0.0,854.0,0
1.1,0.0,855.0,0
1.2,0.0,848.0,0
1.3,0.0,850.0,0
1.4,0.0,851.0,0
1.5,0.0,852.0,0
1.6,0.0,851.0,0
1.7,0.0,851.0,0
1.8,0.0,849.0,0
1.9,0.0,854.0,0
2.0,0.0,855.0,0
2.1,0.0,851.0,0
2.2,0.0,851.0,0
2.3,0.0,857.0,0
2.4,0.0,854.0,0
2.5,0.0,850.0,0
2.6,0.0,847.0,0
2.7,0.0,848.0,0
2.8,0.0,854.0,0
2.9,0.0,855.0,0
3.0,0.0,850.0,0
3.1,0.0,852.0,0
3.2,0.0,854.0,0
3.3,0.0,846.0,0
3.4,0.0,846.0,0
3.5,0.0,858.0,0
3.6,0.0,852.0,0
3.7,0.0,852.0,0
3.8,0.0,851.0,0
3.9,0.0,851.0,0
4.0,0.0,850.0,0
4.1,0.0,851.0,0
4.2,0.0,855.0,0
4.3,0.0,855.0,0
4.4,0.0,854.0,0
4.5,0.0,853.0,0
4.6,0.0,849.0,0
4.7,0.0,846.0,0
4.8,0.0,848.0,0
4.9,0.0,854.0,0
5.0,0.0,851.0,0
5.1,0.0,853.0,0
5.2,0.0,851.0,0
5.3,0.0,851.0,0
5.4,0.0,848.0,0
5.5,0.0,849.0,0
5.6,0.12152777777777778,861.0,0
5.7,0.1388888888888889,853.0,0
5.8,0.1736111111111111,845.0,0
5.9,0.12152777777777778,849.0,0
6.0,0.0,849.0,0
6.1,0.0,850.0,0
6.2,0.0,851.0,0
6.3,0.0,857.0,0
6.4,0.0,856.0,0
6.5,0.0,847.0,0
6.6,0.0,845.0,0
6.7,0.0,850.0,0
6.8,0.0,853.0,0
6.9,0.0,851.0,0
7.0,0.0,853.0,0
7.1,0.0,855.0,0
7.2,0.0,851.0,0
7.3,0.0,848.0,0
7.4,0.0,849.0,0
7.5,0.0,849.0,0
7.6,0.0,849.0,0
7.7,0.0,852.0,0
7.8,0.0,851.0,0
7.9,0.0,855.0,0
8.0,0.0,854.0,0
8.1,0.0,845.0,0
8.2,0.0,849.0,0
8.3,0.0,855.0,0
